Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
0,2022-08-24 13:00:00,0.000000,0.000000,0.000000,0.000000
1,2022-08-24 14:00:00,0.000000,0.000000,0.000000,0.000000
2,2022-08-24 15:00:00,0.000000,0.000000,0.000000,0.000000
3,2022-08-24 16:00:00,0.000000,0.000000,0.000000,0.000000
4,2022-08-24 17:00:00,0.000000,0.000000,0.000000,0.000000
5,2022-08-24 18:00:00,0.000000,0.000000,0.000000,0.000000
6,2022-08-24 19:00:00,0.000000,0.000000,0.000000,0.000000
7,2022-08-24 20:00:00,0.000000,0.000000,0.000000,0.000000
8,2022-08-24 21:00:00,0.000000,0.000000,0.000000,0.000000
9,2022-08-24 22:00:00,0.000000,0.000000,0.000000,0.000000
10,2022-08-24 23:00:00,0.000000,0.000000,0.000000,0.000000
11,2022-08-25 00:00:00,0.000000,0.000000,0.000000,0.000000
12,2022-08-25 01:00:00,0.000000,0.000000,0.000000,0.000000
13,2022-08-25 02:00:00,0.000000,0.000000,0.000000,0.000000
14,2022-08-25 03:00:00,0.000000,0.000000,0.000000,0.000000
15,2022-08-25 04:00:00,0.000000,0.000000,0.000000,0.000000
16,2022-08-25 05:00:00,0.000000,0.000000,0.000000,0.000000
17,2022-08-25 06:00:00,0.000000,0.000000,0.000000,0.000000
18,2022-08-25 07:00:00,0.000000,0.000000,0.000000,0.000000
19,2022-08-25 08:00:00,0.000000,0.000000,0.000000,0.000000
20,2022-08-25 09:00:00,0.000000,0.000000,0.000000,0.000000
21,2022-08-25 10:00:00,0.000000,0.000000,0.000000,0.000000
22,2022-08-25 11:00:00,0.000000,0.000000,0.000000,0.000000
23,2022-08-25 12:00:00,0.000000,0.000000,0.000000,0.000000
24,2022-08-25 13:00:00,0.000000,0.000000,0.000000,0.000000
25,2022-08-25 14:00:00,0.000000,0.000000,0.000000,0.000000
26,2022-08-25 15:00:00,0.000000,0.000000,0.000000,0.000000
27,2022-08-25 16:00:00,0.000000,0.000000,0.000000,0.000000
28,2022-08-25 17:00:00,0.000000,0.000000,0.000000,0.000000
29,2022-08-25 18:00:00,0.000000,0.000000,0.000000,0.000000
30,2022-08-25 19:00:00,0.000000,0.000000,0.000000,0.000000
31,2022-08-25 20:00:00,0.000000,0.000000,0.000000,0.000000
32,2022-08-25 21:00:00,0.000000,0.000000,0.000000,0.000000
33,2022-08-25 22:00:00,0.000000,0.000000,0.000000,0.000000
34,2022-08-25 23:00:00,0.000000,0.000000,0.000000,0.000000
35,2022-08-26 00:00:00,0.000000,0.000000,0.000000,0.000000
36,2022-08-26 01:00:00,0.000000,0.000000,0.000000,0.000000
37,2022-08-26 02:00:00,0.000000,0.000000,0.000000,0.000000
38,2022-08-26 03:00:00,0.000000,0.000000,0.000000,0.000000
39,2022-08-26 04:00:00,0.000000,0.000000,0.000000,0.000000
40,2022-08-26 05:00:00,0.000000,0.000000,0.000000,0.000000
41,2022-08-26 06:00:00,0.000000,0.000000,0.000000,0.000000
42,2022-08-26 07:00:00,0.000000,0.000000,0.000000,0.000000
43,2022-08-26 08:00:00,0.000000,0.000000,0.000000,0.000000
44,2022-08-26 09:00:00,0.000000,0.000000,0.000000,0.000000
45,2022-08-26 10:00:00,0.000000,0.000000,0.000000,0.000000
46,2022-08-26 11:00:00,0.000000,0.000000,0.000000,0.000000
47,2022-08-26 12:00:00,0.000000,0.000000,0.000000,0.000000
48,2022-08-26 13:00:00,0.000000,0.000000,0.000000,0.000000
49,2022-08-26 14:00:00,0.000000,0.000000,0.000000,0.000000
50,2022-08-26 15:00:00,0.000000,0.000000,0.000000,0.000000
51,2022-08-26 16:00:00,0.000000,0.000000,0.000000,0.000000
52,2022-08-26 17:00:00,0.000000,0.000000,0.000000,0.000000
53,2022-08-26 18:00:00,0.000000,0.000000,0.000000,0.000000
54,2022-08-26 19:00:00,0.000000,0.000000,0.000000,0.000000
55,2022-08-26 20:00:00,0.000000,0.000000,0.000000,0.000000
56,2022-08-26 21:00:00,0.000000,0.000000,0.000000,0.000000
57,2022-08-26 22:00:00,0.000000,0.000000,0.000000,0.000000
58,2022-08-26 23:00:00,0.000000,0.000000,0.000000,0.000000
59,2022-08-27 00:00:00,0.000000,0.000000,0.000000,0.000000
60,2022-08-27 01:00:00,0.000000,0.000000,0.000000,0.000000
61,2022-08-27 02:00:00,0.000000,0.000000,0.000000,0.000000
62,2022-08-27 03:00:00,0.000000,0.000000,0.000000,0.000000
63,2022-08-27 04:00:00,0.000000,0.000000,0.000000,0.000000
64,2022-08-27 05:00:00,0.000000,0.000000,0.000000,0.000000
65,2022-08-27 06:00:00,0.000000,0.000000,0.000000,0.000000
66,2022-08-27 07:00:00,0.000000,0.000000,0.000000,0.000000
67,2022-08-27 08:00:00,0.000000,0.000000,0.000000,0.000000
68,2022-08-27 09:00:00,0.000000,0.000000,0.000000,0.000000
69,2022-08-27 10:00:00,0.000000,0.000000,0.000000,0.000000
70,2022-08-27 11:00:00,0.000000,0.000000,0.000000,0.000000
71,2022-08-27 12:00:00,0.000000,0.000000,0.000000,0.000000
72,2022-08-27 13:00:00,0.000000,0.000000,0.000000,0.000000
73,2022-08-27 14:00:00,0.000000,0.000000,0.000000,0.000000
74,2022-08-27 15:00:00,0.000000,0.000000,0.000000,0.000000
75,2022-08-27 16:00:00,0.000000,0.000000,0.000000,0.000000
76,2022-08-27 17:00:00,0.000000,0.000000,0.000000,0.000000
77,2022-08-27 18:00:00,0.000000,0.000000,0.000000,0.000000
78,2022-08-27 19:00:00,0.000000,0.000000,0.000000,0.000000
79,2022-08-27 20:00:00,0.000000,0.000000,0.000000,0.000000
80,2022-08-27 21:00:00,0.000000,0.000000,0.000000,0.000000
81,2022-08-27 22:00:00,0.000000,0.000000,0.000000,0.000000
82,2022-08-27 23:00:00,0.000000,0.000000,0.000000,0.000000
83,2022-08-28 00:00:00,0.000000,0.000000,0.000000,0.000000
84,2022-08-28 01:00:00,0.000000,0.000000,0.000000,0.000000
85,2022-08-28 02:00:00,0.000000,0.000000,0.000000,0.000000
86,2022-08-28 03:00:00,0.000000,0.000000,0.000000,0.000000
87,2022-08-28 04:00:00,0.000000,0.000000,0.000000,0.000000
88,2022-08-28 05:00:00,0.000000,0.000000,0.000000,0.000000
89,2022-08-28 06:00:00,0.000000,0.000000,0.000000,0.000000
90,2022-08-28 07:00:00,0.000000,0.000000,0.000000,0.000000
91,2022-08-28 08:00:00,0.000000,0.000000,0.000000,0.000000
92,2022-08-28 09:00:00,0.000000,0.000000,0.000000,0.000000
93,2022-08-28 10:00:00,0.000000,0.000000,0.000000,0.000000
94,2022-08-28 11:00:00,0.000000,0.000000,0.000000,0.000000
95,2022-08-28 12:00:00,0.000000,0.000000,0.000000,0.000000
96,2022-08-28 13:00:00,0.000000,0.000000,0.000000,0.000000
97,2022-08-28 14:00:00,0.000000,0.000000,0.000000,0.000000
98,2022-08-28 15:00:00,0.000000,0.000000,0.000000,0.000000
99,2022-08-28 16:00:00,0.000000,0.000000,0.000000,0.000000
100,2022-08-28 17:00:00,0.000000,0.000000,0.000000,0.000000
101,2022-08-28 18:00:00,0.000000,0.000000,0.000000,0.000000
102,2022-08-28 19:00:00,0.000000,0.000000,0.000000,0.000000
